product_name	packaging	brands	categories_tags	ingredients_text	nutriscore_grade	ecoscore_grade
Blanquette de Volaille et son Riz	Plastique, Carton	Comme J’aime	en:meats-and-their-products,en:meals,en:meals-with-meat,en:poultry-meals,en:microwave-meals,en:turkey-dishes	Riz précuit 40,4 % (eau, riz, huile de colza, sel), viande de dinde précuite 28,1 % (viande de dinde (Origine France), eau, sirop de glucose, sel, stabilisant : E451i, amidon modifié de maïs), eau, carotte 4,7 %, _crème_ fraîche épaisse 3,2 % champignon de Paris 2,5 %, oignon, amidon modifié de maïs, arôme naturel, extrait de vin blanc 0.2 % [_Sulfites_], sel.	b	c
Salade Cesar	Frais	Kirkland Signature	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:leaf-vegetables	INGREDIENTS : LAITUE. VINAIGRETTE (HUILE DE CANOLA. EAU. AIL. JAUNE D'OEUF CONGELE. FROMAGE PARMESAN. JUS DE CITRON CONCENTRE. SEL. PATE D'ANCHOIS. ASSAISONNEMENTS. GOMME XANTHANE). FROMAGE PARMESAN. CROUTONS (FARINE. FARINE DE BLE ENTIER. HUILE DE PALME. EAU. GLUCOSE—FRUCTOSE. FARINE DE SEIGLE. SEL. GLUTEN DE BLE. CARAMEL. MELASSE OUALITE FANTAISIE. POUDRE DE LACTOSERUM. MALTODEXTRINE. CARVI. LEVURE. VINAIGRE. SUCRE. POUDRE D'AIL. LEVAIN DE SEIGLE.  PERSIL. ACIDE ASCORBIQUE. PHOSPHATE MONOCALCIQUE. SULFATE D'AMMONIUM. SULFATE DE CALCIUM). CITRON. 	d	unknown
Chaussons tressés aux pommes	Frais	Kirkland Signature	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:viennoiseries,en:pastries,en:apple-turnovers	Pâte (farine, margarines d'huile de palme et de canola, eau, sucre, sel, L-cystéine, essences). Garniture: (Pommes, eau, sucre, glucose-fructose, amidon de maïs modifié, acide citrique, cannelle, sel, chlorure de calcium, benzoate de sodium, sorbate de potassium, sulfites), sucre.	c	b
Pain Burger Artisan	Plastique, Frais	Kirkland Signature	fr:boulange	Ingrédients : Farine, eau, sel, levure, orge malté	b	unknown
pesto	Verre, Pot en verre	Kazidomi	en:condiments,en:sauces,en:pestos,en:groceries	Rucola à l'huile d'olive vierge extra* 39% (rucola* 52%, huile d'olive vierge extra* 41,5%, sel), _Noix de cajou*_, huile d'olive vierge extra*, Parmigiano Reggiano A.O.P. * (_lait*_, sel, présure), ail*. (*Ingrédients biologiques).	e	b
Crème d'Artichaut Bio	Glass,fr:Pot en verre	Kazidomi	en:spreads,en:salted-spreads,en:artichoke-spreads	Artichauts* 70%, Huile d'olive vierge extra*, Sel, Régulateur d'acidité : E330. (*ingrédients biologiques)	d	unknown
Quiche Lorraine	Frais	Kirkland Signature	en:meals,en:pizzas-pies-and-quiches,en:quiches,en:lorraine-quiche	INGRÉDIENTS : GARNITURE (SUBSTANCES LAITIÈRES. JAMBON (PORC. BOUILLON DE LEGUMES. SEL. SUCRE, DEXTROSE. NITRITE DE SODIUM. LACTATE DE SODIUM, ERYTHORBATE DE SODIUM. DIÂCETATE DE SODIUMI, OEUF LIQUIDE ENTIER. FROMAGES CHEDUAR ET SUISSE [SUBSTANCES LAITIERES MODIFIEES. SEL. CULTURE BACTERIENNE. ENZYME MICROBIEN. CHLORURE DE CALCIUM. NATAMYCINE. CELLULOSE]. OIGNON. AMIDON DE MAIS MODIFIE. EPICES. SEL. CITRATE DE SODIUM. PHOSPHATE DE SODIUM, CARRAGHENINE. GOMME DE CAROUBE), CROUTE (FARINE. SHORTENING D'HUILE DE PALME ET DE CANOLA. EAU. DEXTROSE. SEL. LEVURE. HUILE VEGETALE. L-CYSTEINE. PROPIONATE DE SODIUM), FROMAGES CHEDDAR ET MONTEREY (SUBSTANCES LAITIERES MODIFIEES. CULTURE BACTERIENNE. SEL. ENZYME MICROBIEN. CHLORURE DE CALCIUM. CELLULOSE. COLORANT. NATAMYCINE). PERSIL SECHE. CONTIENT 2 OEUF. BLE. LAIT.  PEUT CONTENIRZ POISSON. MOLLUSQUES. CRUSTACES. NOIX  VARIEES. SESAME. MOUTARDE. SOYA. SULFITES.  	b	d
Bonbons acidulés Raisin Fraise	Carton	Wonka,Nerds	en:snacks,en:sweet-snacks,en:confectioneries,en:candies	Dextrose, sucre, sirop de glucose, acidifiant : acide malique, arômes artificiels, agent d'enrobage : E903, colorants : E133, E132, E129, E102, E110.	d	c
Pâte d'Amandes	Plastique	Alice Délice	en:snacks,en:sweet-snacks,en:confectioneries,en:marzipan,en:almond-paste	Sucre (betterave), _amandes_ (20.1 %), sirop de glucose, stabilisants E422, E420(i) + E516, _amandes_ amères (1,2 %), colorants : E171 + E120, anti-agglomérants E339(ii), émulsifiants: E450(ii)+ E401.	d	d
Pâte à Sucre	Plastique, Sachet	Alice Délice	en:snacks,en:sweet-snacks,en:confectioneries,en:cooking-helpers,en:pastry-helpers,en:fondants,fr:decorations	Sucre (74 %), sirop de glucose, huiles et graisses végétales (palme, tournesol, illipé), sirop de sucre inverti, stabilisant : E420ii, eau, humectant : E422, épaississant : E415, émulsifiant : E471, acidifiant : E330, arôme, conservateur.	d	unknown
Brioches roulées avec raisins	En caissette	Kirkland Signature	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:pastries	INGRÉDIENTS ; BRIOCHE (FARINE, EAU, RAISINS SECS, BEURRE, SUCRE, LEVURE, FÉCULE DE POMME DE TERRE MODIFIÉE, ŒUF ENTIER LIQUIDE, SEL, POUDRE DE LACTOSÉRUM, GLUTEN DE BLÉ, LAIT ÉCRÉMÉ DESSÉCHÉ , AMIDON DE BLÉ, ACÉTATE DE CALCIUM, PHISPHATE DE SODIUM, LÉCITHINE DE COLZA, ACIDE ASCORBIQUE, AMYLASE, XYLATASE, B-CAROTÈNE, ARÔME ARTIFICIEL) . NAPPAGE :’ (EAU, SUCRE, SIROP DE MAÏSPECTINE, ACIDE CITRIQUE, CARRAGHÉNINE, GOMME DE XANTHANE, SORBATE DE POTASSIUM, ARÔME ARTIFICIEL, CITRATE DE SODIUM, CHLORURE DE CALCIUM, MONO ET DIGLYCÉRIDES, HUILE DE CANOLA, PHOSPHATE DE SODIUM, COLORANT)I..	b	unknown
Belgische Pralinen	Pappe, 21 PAP	J. D. Gross	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons	Zucker, Kakaomasse, Kakaobutter, _Vollmilchpulver_, Palmöl, Karamellzubereitung (Glukosesirup, Palmöl, Zucker, _Vollmilchpulver_, Wasser, Emulgator: Lecithine (_Soja_), Aroma, Speisesalz), Glukose-Fruktose-Sirup, _Butterreinfett_, Marzipan (Zucker, _Mandeln, Dextrose, Feuchthaltemittel: Glycerin, Sorbit), Dextrose, _Haselnusskerne_, stark entöltes Kakaopulver, Emulgator: Lecithine (_Soja_), Glukosesirup, 0,15% Spirituose, _Mandeln_, _Pisatazien_, Aroma, _Magermilchpulver_, Kaffee	e	unknown
Donuts fourrage vanille			en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:doughnuts		e	b
Pastille Vichy	Papier	Vichy	en:snacks,en:sweet-snacks,en:confectioneries,en:candies,fr:bonbons-sans-sucres,fr:pastilles	Édulcorants (Sorbitol, Aspartame), agent d'enrobage (Sels de magnésium d'acides), Extraits des eaux de Vichy (0,3 %), Arôme. consommation excessive peut avoir des effets laxatifs. Contient une source de phénylalanine.	c	c
M&M's Peanut Butter	Plastique, Sachet	M&M's,Mars,Mars Chocolat	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons,en:chocolate-covered-nuts,en:chocolate-covered-peanuts	Sucre, _Arachide_, pâte de cacao, lait écrémé en poudre, _lactose_ et protéine de _lait_, matières grasses végétales, beurre de cacao, _beurre_ concentré, amidon, sirop de glucose, Iécithine de _soja_, gomme arabique, colorant, arôme, sel, huile végétale.	e	d
Pepsi, Nouveau goût !	Canette aluminium	Pepsi	en:beverages,en:carbonated-drinks,en:sodas,en:colas,en:sweetened-beverages	Eau gazéifiée, sucre, colorant caramel E150d, acidifiant : acide phosphorique, arômes (dont : extraits naturels de végétaux, caféine)	e	not-applicable
Chicken Chips	Plastique, Sachet, Surgelé, PEBD - Polyéthylène basse densité, 04	Bofrost	en:meats-and-their-products,en:frozen-foods,en:meals,en:meats,en:chicken-and-its-products,en:meat-preparations,en:poultries,en:breaded-products,en:chickens,en:cooked-poultries,en:chicken-preparations,en:cooked-chicken,en:frozen-ready-made-meals,en:poultry-nuggets,en:breaded-chicken,en:chicken-nuggets	Filet de poulet 64 %, maïs, eau, huile de colza, amidon modifié de _blé_, sel, farine de _blé_, sucre, dextrose, extrait de malt d'_orge_, extrait de poivre.	c	d
7Up	Boîte de conserve ou canette, Canette	7Up,Pepsico	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:fruit-based-beverages,en:sodas,en:fruit-sodas,en:lemon-soft-drinks,en:sweetened-beverages	Eau gazéifiée, sucre, acidifiants (acide citrique, acide malique), arômes (extraits naturels de citron et de citron vert), correcteur d'acidité (citrate de sodium)	e	not-applicable
Beignets à la pomme			en:snacks,en:sweet-snacks,en:sweet-fritters		c	unknown
Confiture d'oranges	Plastique, Sachet, Boîte, Carton	Bijou	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:fruit-cakes,fr:cakes-aux-raisins	Farine de _blé_, _œufs_ frais, huile de colza, sucre, raisins secs 13% (raisins, huile de colza, dextrose), sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (_blé_), sel, _lait_ écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme naturel d'orange.	d	c
Cakes aux Fruits	Plastique, Sachet, Boîte, Carton	Bijou	en:snacks,en:desserts,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:pastries,en:fruit-cakes	Fruits 37.4% [fruits confits 21,5% [fruits (pastèque, bigarreaux, écorce d’orange), sirop de glucose-fructose, sucre, conservateurs : sorbate de potassium - anhydride sulfureux, colorants : caramel ordinaire - E120, E133, correcteur d’acidité : acide citrique], raisins secs au rhum 15.9%, farine de blé, huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, émulsifiants : mono et diglycérides d’acides gras, lait écrémé en poudre, arôme naturel d’orange. 	d	c
Financiers aux Amandes	30 emballages individuels, Boîte carton	Bijou	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:financiers,fr:patisseries-fondantes-a-la-poudre-d-amande	Sucre, blanc d’_œufs_frais, poudre d’_amande_ 16.5%,_beurre_concentré, farine de_blé_,_œufs_frais. sirop de glucose-fructose, stabilisant : glycérol, sel, poudres à lever : carbonates de sodium - diphosphates (_blé_), arôme.	e	b
Sauce Tomate Aux Champignons Bio Kazidomi	Verre, Pot en verre	Kazidomi	en:condiments,en:sauces,en:tomato-sauces,en:groceries	Purée de tomates* 90,82%, huile d’olive vierge extra* 2,23%, cèpes* 1,78%, carottes*, _Céleri*_, oignons*, sel, persil*, basilic*. (*issus de l'agriculture biologique)	a	a
Sauce Tomate Puttanesca Bio Kazidomi	Verre, Pot en verre	Kazidomi	en:condiments,en:sauces,en:tomato-sauces,fr:sauces-puttanesca,en:tomate-sauces,en:groceries,fr:puttanesca,fr:sauce-italienne	Purée de tomates* 86,97%, olives* 7,67%, huile d’olive vierge extra* 3,41%, câpres* 1,28%, ail* 0,61%, poivre noir* (*issus de l'agriculture biologique)	a	a
Sauce Tomate Aux Courgettes Bio Kazidomi	Verre, Pot en verre	Kazidomi	en:condiments,en:sauces,en:tomato-sauces,en:groceries	Purée de tomates* 79,33%, courgettes* 9,72%, huile d’olive extra vierge* 3,24%, oignons*, carottes*, _Céleri*_, sel, poivre noir*.  (*issus de l'agriculture biologique)	a	a
Sauce Tomate Au Thon & Olives Bio Kazidomi	Verre, Pot en verre	Kazidomi	en:condiments,en:sauces,en:tomato-sauces,en:tomato-sauces-with-olives,en:groceries	Purée de tomates* 83,99%, _thon_ 4,22%, olives* 4,22%, huile d’olive extra vierge* 3,19%, oignons*, sel, persil*. (*issus de l'agriculture biologique)	a	a
Sauce tomate aux légumes bio	Glass,fr:Pot en verre	Kazidomi	en:condiments,en:sauces,en:tomato-sauces,en:vegetable-sauces,en:groceries	Purée de tomates* 84%, carottes* 3,7%, huile d'olive extra vierge* 3%, oignons* 3%, courgettes* 2,5%, aubergines* 1,45%, _Céleri*_ 0,7%, basilic* 0,7%, sel . (*issus de l'agriculture biologique).	a	a
Fondants Citron	Boîte carton, Sachet Plastique	Bijou	en:snacks,en:desserts,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:pastries,en:lemon-cake	Sucre, blanc d’_œufs_ frais, poudre d’_amande_ 16.5%, _beurre_ pâtissier, farine de _blé_, pépites au citron 7% (sucre, pomme, pulpe de citron 18.1%*, dextrose, fibres d’ananas, gélifiant : alginate de sodium, correcteurs d’acidité : acide citrique - citrates de potassium, stabilisant : phosphates de calcium, arôme naturel de citron, colorant : curcumine), _œufs_ frais, sirop de glucose-fructose, stabilisant : glycérol, poudre de citron 0.9 % (équivalent à 5% de jus de citron) (jus concentré de citron, maltodextrine), sel, poudres à lever : carbonates de sodium - diphosphates (_blé_), arôme naturel de citron. *% exprimé sur les pépites équivalent à 1.2% sur l’ensemble du produit.	e	b
Donuts fourrage vanille			en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:doughnuts		e	b
Raclette	Plastique	Pâturages	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cow-cheeses,en:raclette,en:cow-raclette		d	c
Provola Typical Crotonese	Vacuumed	Valkro srl	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses	Cow's milk, rennet, salt.	d	d
Ajo picado Del Monte	Vidrio, en:Pouch flask	Del Monte	en:canned-foods	Agua, ajo, ácido fosfórico, goma xantana y goma guar.	b	unknown
30 Panach' Fruits	Plastique, Boîte, Carton	Bijou	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,fr:gouters-individuels	Pâtisseries fourrées à la pulpe de pêche : farine de blé, fourrage pêche 20% (sirop de glucose-fructose, purée de pêche 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe d'abricot : farine de blé, fourrage abricot 20% (sirop de glucose-fructose, purée d'abricot 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe de fruits rouges : farine de blé, fourrage fruits rouges 20% (sirop de glucose-fructose, purée de fraise 17.8%*, sucre, purée de framboise concentrée 5%* (équivalent à 21.2%* de purée de framboise), purée de cerise concentrée 3%* (équivalent à 11%* de purée de cerise), gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arôme, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *soit un équivalent de 50% de purée de fruits sur le fourrage équivalent à 10% sur l’ensemble du produit.	c	unknown
Balocco, bambu extra cream wafer filled with hazelnut cream		Balocco	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits	Whey powder (milk) - soya flour - dried skimmed milk - low fat cocoa - dextrose - emulsifier: soya lecithin - raising agents: sodium hydrogen carbonate, disodium diphosphate - salt - natural flavoring: vanilla pods.	e	c
Beef Bologna	Plastic Container	Private Selections,Kroger	en:meats-and-their-products,en:meats,en:prepared-meats,en:sausages,en:bologna,en:deli-meat,en:lunch-meat	Beef, water, contains 2% ir kess ifL Salt, Flavorings, Extrose, Vinegar, Sodium Phosphates, Sodium Erythorbate, Paperika, Sodium Nitrate.	e	unknown
Cassoulet a la cuisse de canard confite	Métal, Conserve	Le Moulin de Moreau	en:meats-and-their-products,en:meals,en:meals-with-meat,en:poultry-meals,en:duck-dishes		b	d
Curiously Strong Mints	Metal, Box	Marks & Spencer	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons	Sugar, Dextrose, Glucose, Peppermint Flavouring, Gelling Agent: Beef Gelatine, Menthol	d	unknown
Cookies Belgian chocolate chunk	Plastic, Bag	Marks & Spencer	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits	Wheatflour contains Gluten (With Wheatflour, Calcium Carbonate, Iron, Niacin, Thiamin) • Dark Chocolate Chunks (22%) (Sugar • Cocoa Mass • Cocoa Butter • Emulsifier: Soya Lecithin • Vanilla Flavouring) • Sugar • Butter (Milk) (18%) • Milk Chocolate Chunks (11 %) (Sugar • Dried Whole Milk • Cocoa Butter • Cocoa Mass • ü noulsifier: Soya Lecithin • Vanilla Flavouring) • Raising Agent: E450, Sodium Bicarbonate, E503 • Salt • Vanilla Flavouring. Dark Chocolate contains Cocoa Solids 42% minimum. Milk Chocolate contains Cocoa Solids 29% minimum, Milk Solids 22% minimum.	e	c
All Butter Belgian White Chocolate Chunk Cookies	Plastique, Papier, Sachet	Marks & Spencer	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits	Morceaux de chocolat blanc (35 %) (Sucre - _Lait_ en poudre entier - Beurre de cacao - _Lait_ en poudre écrémé émulsifiant : lécithine de _soja_, arôme vanille) - Farine de _blé_ (avec Farine de _blé_, Carbonate de calcium, Fer, Niacine, Thiamine) - _Beurre_ (19 %) - Sucre - Fécule de maïs - Poudre à lever: E450, bicarbonate de soude, E5030 - sirop de sucre inverti - sel.	e	c
All Butter Fruity Flapjack Cookies	Plastique, Sachet	Marks & Spencer	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:drop-cookies,en:oatmeal-cookies,en:raisin-cookies	Sucre • Beurre (_Lait_) (15%) • flocons d'_avoine_ (contient du _gluten_) • Farine de _blé_(contient du _gluten_) (avec du _blé_, du carbonate de calcium, du fer, de la niacine, de la thiamine) • Raisins secs (12%) • Noix de coco desséchée (8 %) • Abricots séchés (7 %) (Abricots • Farine de riz • Conservateur: E220 (_Sulfites_)) • Golden syrup (sirop de sucre inverti) • _œufs_ pasteurisés • Agent de levage: Bicarbonate de sodium, E450, E503, sel, Mélasse.	e	c
Cranberry & Orange Cookies	Plastic, Bag, Film plastics - not currently recycled, Tray plastics - check local recycling	Marks & Spencer	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits	_wheatflour_ contains _gluten_ (with _wheatflour_, calcium carbonate, iron, niacin, thiamin), sweetened dried cranberries 29% (sugar, cranberries, antioxidant: citric acid, sunflower oil), sugar, _butter_ 17% (_milk_), glucose syrup, cornflour, dried skimmed _milk_, raising agent: E450, sodium bicarbonate, E503, salt, orange flavouring	e	c
Cookies Stem Ginger	Plastique, Barquette	Marks & Spencer	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:oatmeal-cookies	Farine de _blé_ contient _Gluten_ (avec Farine de _blé_, Carbonate de calcium, Fer, Niacine, Thiamine) -  Beurre (_Lait_) (23%) - Gingembre confit cristallisé (18%)  (Gingembre conﬁt, Sucre) - Sucre - Flocons d'_avoine_ (contiennent _Gluten_) (12%) - Sirop de sucre inverti - Gingembre moulu - Poudre à lever: E503, Bicarbonate de soude, E450 - _Lait_ en poudre écrémé - Sel	e	c
Stem Ginger Cookies	Plastique	Marks & Spencer	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits	Farine de _blé_ contient _Gluten_ (avec farine de _blé_, Carbonate de calcium, Fer, Niacine, Thiamine); Sucre; Gingembre conﬁt cristallisé (17%) (Gingembre, Sucre de Canne); Beurre (_Lait_) (13%); Flocons d'_avoine_ (contient _Gluten_); _Avoine_ grossièrement moulue (contient _Gluten_); Fécule de maïs; _Lait_ en poudre écrémé; Émulsifiant: Lécithine de _soja_ ; Poudre à lever : E450, Bicarbonate de soude, E503; Sirop de sucre inverti; Gingembre moulu; Sel. 	e	c
Smoothie Strawberry & Banana	Plastique, Bouteille, en:pet-bottle	Marks & Spencer, Yesto	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies	Jus de pomme - Purée de fraise (26%) - Purée de banane (21 %) • Purée de pomme • Purée de baie de sureau • Correcteur d'acidité : Acide citrique • : Antioxydant : Acide ascorbique,	e	c
Vegavero Liver Active Complex	Flacon, Gellules	Vegavero	en:dietary-supplements	L-choline-bitartrate 168mg, extrait de racine de chicorée de Bruxelles (Cichorium intybus L. sativum) 350mg, enveloppe de la capsule (hydroxypropylméthycellulose), extrait de coeur et de pétale d'artichaut (Cynara scolymus) 210mg, extrait de racine de pissenlit (Taraxacum officinale) 210mg, extrait de rhizome de curcuma (Curcuma longa) 140mg dont 95% de curcuminoïdes 133mg	b	unknown
Porridge de Riz	Boîte, Carton	Marks&Spencer,Marks & Spencer	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:porridge	Flocons de riz complet (65 %) Gruau de maïs (35 %).	a	d
Melange Rando	Sachet	Les Accents du Soleil	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:dried-products,en:dried-plant-based-foods,en:dried-fruits,en:dried-mixed-fruits	Abricots en morceaux  (95% Abricots secs, 5% farine de riz) - Figues en morceaux (95% figues séchées, 5% farine de riz) - Amandes mondées - Mulberries	a	unknown
Cœur coulant au chocolat - au caramel-beurre salé	Plastique, Carton	Bonne Maman	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes	Chocolat au LAIT 21% (sucre, beurre de cacao, poudre de LAIT entier, pâte de cacao, émulsifiant : lécithine de SOJA, arôme naturel de vanille), BEURRE, OEUFS entiers, farine de BLE, sucre, CREME, caramel 6,6% (sucre, eau), chocolat noir 5,6% (pâte de cacao, sucre, cacao maigre en poudre, émulsifiant : lécithine de SOJA), cacao en poudre, jaune d'OEUFS, BEURRE demi sel 1,9%, sirop de sucre inverti, LAIT écrémé en poudre, fécule, sel, gélifiant : pectine.	e	unknown
Bijou Caramel ChocoLait	Boîte carton, Sachet plastique	Bijou	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:pastries,en:chocolate-cakes,en:filled-cakes	Farine de _blé_, fourrage lait et caramel 17% (sirop de glucose-fructose, _lait_ concentré sucré 20%*, stabilisant : glycérol, caramel 2.5%*, sel, arôme, gélifiant : pectines, conservateur : sorbate de potassium), huile de colza, _œufs_ frais, sucre, chocolat au lait 11% (sucre, beurre de cacao, poudre de _lait_ entier, pâte de cacao, émulsifiant : lécithines (_soja_), arôme), sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates (_blé_), sel, émulsifiants : mono et diglycérides d’acides gras, _lait_ écrémé en poudre, arôme. *% exprimés sur le fourrage équivalent respectivement à 3.4% et 0.4% sur l’ensemble du produit. 	e	d
4 Indulgent & Chewy Maple Syrup & Pecan Giant Cookies	Plastique, Sachet	Marks & Spencer	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,fr:cookies-aux-noix-de-pecan	Farine de _blé_ contient Gluten (avec Farine de _blé_, calcium, Fer, Niacine, Thiamine) • Sucre • _Noix de Pécan_ (12%) • Beurre (_Lait_) • Huile de palme • Huile de colza • Sirop • Sirop de sucre inverti • Fructose • Sucre roux • _Lait_ écrémé • Maltodextrine • Sirop de sucre • _Œufs_ de poules en poudre • Poudre à lever : Bicarbonate de soude, E450, sel.	e	c
All Butter Cookies	Metal, Plastic, Box	Marks & Spencer	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:dry-biscuits,en:assortments-of-biscuits,fr:biscuits-pur-beurre	Wheatflour contains Gluten (With {nuti Wheatflour, Calcium Carbonate, Iron, Niacin, Thiamin) • Butter (Milk) (22%) • Sugar • Oat Flakes (contain Gluten) • Belgian Dark Chocolate Chunks (7%) (Sugar • Cocoa Mass • Cocoa Butter • Emulsifier: Soya Lecithin • Vanilla Flavouring) • Crystallised Stem Ginger (7%) (Stem Ginger • Sugar) • Hazelnuts (3%) • Belgian Milk Chocolate Chunks (Sugar • Dried Whole Milk • Cocoa Butter • Cocoa Mass • Emulsifier: Soya Lecithin • Vanilla Flavouring) • Diced Pecan Nuts • Currants • Golden Syrup (Invert Sugar Syrup) Sunflower Seeds • Dried Skimmed Milk • Pumpkin Seeds • Raising Agent: Sodium Bicarbonate, E450, E503 • Invert Sugar Syrup • Salt • Ground Ginger • Flavouring. Belgian Dark Chocolate Chunks contain Cocoa Solids 39% minimum. Belgian Milk Chocolate Chunks contain Cocoa Solids 25% minimum and Milk Solids 14% minimum. For allergens see ingredients in bold. Suitable for vegetarians	e	c
POP TARTS FROSTED STRAWBERRY	Caja, Recipiente	KELLOGG´S	es:tarta-de-trigo	DE TRIGO Y SOYA.	d	unknown
Honey roast ham	Plastique, Barquette	Marks & Spencer,M&S	en:meats-and-their-products,en:meats,en:prepared-meats,en:hams,en:white-hams,en:honey-roast-ham	Porc d’origine britannique (élaboré avec 120 g de porc cru pour 100 g de jambon rôti au miel); Sucre; Miel (2%); Sels de salaison (Sel, Conservateur: Nitrite de sodium); Sirop de sucre caramélisé.	c	d
Scottish Shortbreads	Métal, Plastique, Boîte	Marks & Spencer	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:shortbread-cookies,en:shortbread	Farine de blé contient _Gluten_ (avec Farine de _blé_, Carbonate de calcium, Fer, Niacine, Thiamine) : _Beurre_ (_Lait_) (34 %) - Sucre - Sel - Poudre à lever : E503.	e	c
Made Without Wheat Blueberry Muffins	Plastique	Marks & Spencer	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:muffins,en:fruit-muffins,en:blueberry-muffins	_Œufs_ de poules élevées en plein air pasteurisés - sucre - Myrtilles (15 %) . Huile de colza • Fécule de pomme de terre • Eau - Fécule de maïs • épaississant : E1422 • Huile de palme • Lactosérum en Poudre (_Lait_) ; Poudre a lever E450, Bicarbonate de soude • Émulsifiant : E481, E472e, E472b, E475 • Arôme - Sirop de déshydraté • _Lait_ en poudre écrémé. : Stabilisant : Gomme xanthane • Sel.	d	c
