product_name	packaging	brands	categories_tags	ingredients_text	nutriscore_grade	ecoscore_grade
Roast flavor pork roast, roast		Hormel	en:meats-and-their-products,en:meats	Pork broth, soybean oil, cultured dextrose (contains maltodextrin), dried vinegar, flavor (yeast extract, natural flavor), salt, seasoning (potato maltodextrin, natural flavor, salt), dehydrated parsley, flavoring.	b	unknown
Hormel, always tender, pork roast, onion garlic		Hormel	en:meats-and-their-products,en:meats	Pork broth, cultured dextrose (contains maltodextrin), dried vinegar, flavor (yeast extract, natural flavor), soybean oil, salt, onion powder, garlic powder, spice, natural flavor.	c	unknown
Apple bourbon pork tenderloin, apple bourbon		Hormel	en:meats-and-their-products,en:meats	Pork broth, seasoning (brown sugar, tomato powder, salt, sugar, spices, apple juice powder [maltodextrin, apple juice solids], applewood smoke powder [maltodextrin, natural applewood smoke flavor], onion powder, garlic powder, natural flavors, tomato flavor [maltodextrin, tomato essence], mustard flour, malic acid, bourbon whiskey), cultured dextrose (contains maltodextrin), dried vinegar, soybean oil, seasoning (yeast extract, natural flavor), flavoring.	b	unknown
Roquefort Vernières	Frais, Barquette polystyrène, Etiquette papier, Film plastique	Vernières	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:blue-veined-cheeses,en:french-blue-veined-cheeses,en:sheep-s-milk-cheeses,en:roquefort-cheeses	_Lait _ cru de brebis &quot;origine France&quot;, sel, présure, ferment _lactiques_, pènicillium roqueforti	e	c
Jambon de Paris	Barquette plastique	Charles Keller	en:meats-and-their-products,en:meats,en:prepared-meats,en:hams,en:white-hams		c	e
Jambon de Paris supérieur en tranches	Barquette plastique	Charles Keller	en:meats-and-their-products,en:meats,en:prepared-meats	Jambon porc 92%, eau, sel, dextrose, arômes naturels, antioxydant E301, bouillon de légumes (blette, carotte, oignon)	c	unknown
wraps blé nature	Plastique	mission wraps	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:sandwiches,en:breads,en:wraps,en:flatbreads,en:white-breads,en:wheat-breads,en:wheat-flatbreads	Galette de blé Ingrédients: farine de froment (68%), eau, huile de colza, stabilisants (glycérol, gomme de guar, E466), sucre, blé fermenté, sel, acidifiant (acide citrique), poudres à lever (E500, E450), émulsifiants (E471, E472e), arôme naturel Information allergies: pour les allergènes, y compris les céréales contenant du gluten	c	b
Croissant chocolat x2			en:snacks,en:sweet-snacks,en:sweet-fritters,fr:beignets,fr:beignets-a-l-abricot		d	unknown
Pain De Campagne	Sachet	Intermarche	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:pains-de-campagne	Farine de _blé_, eau, _son_ 7,83%, levure, sel, gluten de _blé_, sucre, farine de _blé_ malté, émulsifiants : E471 et E472e, malt d'_orge_, agent de traitement de la farine (acide ascorbique).	c	unknown
Riz long	Plastique, Sachet	Top Budget	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:rices,en:long-grain-rices	Riz long.	b	e
boule bio tranchée au levain	Plastique, Sec	La Campanière	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,fr:pains-de-tradition-francaise,en:french-bread-ball-with-yeast		b	b
Boule bio Campanière	Film plastique, Sachet papier	Campanière,Intermarché	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:wholemeal-breads,fr:pain-complet-bio	farine de blé (48%), eau, farine de seigle, levain de blé (eau, farine de blé et de malt, vinaigre, sel, amidon de blé), sel, levure.	c	unknown
Pain complet bio Campanière	Film plastique, Sachet papier	Campanière,Intermarché	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:wholemeal-breads,fr:pain-complet-bio	farine de blé T150 (54%), eau, levain (eau, farine de blé et de malt, vinaigre, sel, amidon de blé), améliorant (farine de blé T55, gluten de blé, extrait sec d'acelora), sel, levure.	c	unknown
Pains aux 2 lins	Sachet	La Campanière	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:breads,en:flax-seeds,en:special-breads,en:brown-flax-seeds,en:gold-flax-seeds	Farine de _BLE_ (43%), eau, graines de lin brun (5-6%). graines de lin jaune (4.5%), farine de lin extrude (3.5%) (farine de _ BLE_. graines de lin brun), son de _BLE_; sel, levure, graines de millet (0,6%), _gluten de BLE_     .	c	c
Pain aux 2 lins	Papier, Sachet	Bleu Blanc Coeur	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:special-breads	Farine de _blé_ CRC Fine (43 %), eau graines de lin brun (5,1 %), graines de lin jaune (3,7 %), farine de lin extrudé (4 %) (farine de _blé_, graines de lin brun 1,5%), son de _blé_, sel, levure, graines de millet (0.4 %), gluten de _blé_.	a	unknown
barrett proteica cioccolato agrumi scatola da 14 bar	Boîte	herbalife	en:snacks,en:canned-foods,en:sweet-snacks,en:bars,en:dietary-supplements,en:bodybuilding-supplements,en:protein-bars		d	unknown
4 croissants pur beurre	boîte,plastique	sans marque	en:snacks,en:sweet-snacks,en:viennoiseries,en:croissants,en:butter-croissants	Farine de BLÉ, beurre (LAIT) AOP Charentes-Poitou 25%, eau, sucre, levure, gluten de BLÉ, sel, OEUFS, poudre de crème (LAIT), levain désactivé d'ÉPEAUTRE, farine d'ORGE maltée, Malt d'ORGE, agent de traitement de la farine : acide ascorbique.	d	b
4 beignet à la Pomme			en:snacks,en:sweet-snacks,en:sweet-fritters		d	unknown
Beignets intermarche			en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:doughnuts,en:doughnuts-filled-with-fruits,en:sweet-fritters,fr:beignets-fourres-a-la-framboise		c	b
Beignets gourmands à la pomme du Val de Loire			en:snacks,en:sweet-snacks,en:sweet-fritters		c	unknown
Beignets fourres ×6			en:snacks,en:sweet-snacks,en:sweet-fritters		c	unknown
Beignets fourrer degongele			en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:doughnuts,en:doughnuts-filled-with-fruits,en:sweet-fritters,fr:beignets-fourres-a-la-framboise		c	b
Beignets framboise			en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:doughnuts,en:doughnuts-filled-with-fruits,en:sweet-fritters,fr:beignets-fourres-a-la-framboise		d	b
Beignets framboise			en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:doughnuts,en:doughnuts-filled-with-fruits,en:sweet-fritters,fr:beignets-fourres-a-la-framboise		c	b
